GeneID,Symbol,Gene Name / Type,log2FC,pvalue
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene),0.05903,0.1494024798383586
653635,WASH7P,"WASP family homolog 7, pseudogene",-0.7899999999999991,0.5991347299556313
102466751,MIR6859-1,microRNA 6859-1,-1.3244999999999996,0.05480780054184471
107985730,MIR1302-2HG,MIR1302-2 host gene,0.03936,0.49999999999999956
100302278,MIR1302-2,microRNA 1302-2,0,NA
645520,FAM138A,family with sequence similarity 138 member A,0,NA
79501,OR4F5,olfactory receptor family 4 subfamily F member 5,0,NA
100996442,WASH9P,"WAS protein family homolog 9, pseudogene",0.38549999999999995,0.08898133651931835
729737,LOC729737,uncharacterized LOC729737,2.5459999999999994,0.10011340851001888
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene),0.10086500000000001,0.06619833919174116
102723897,LOC102723897,WASH complex subunit 1 pseudogene,-0.72999999999999865,0.4843608301915368
102465909,MIR6859-2,microRNA 6859-2,-0.5739999999999998,0.2356421064023287
107985721,NA,NA,-0.00981,0.49999999999999956
112268260,LOC112268260,uncharacterized LOC112268260,0.44655,0.12676036989576722
729759,OR4F29,olfactory receptor family 4 subfamily F member 29,0,NA
100132287,LOC100132287,uncharacterized LOC100132287,1.1510000000000007,0.2295365260327592
105378947,LOC105378947,proline-rich extensin-like protein EPR1,0.06150000000000003,0.23674771303659028
101928626,LOC101928626,uncharacterized LOC101928626,0,NA
113219467,MIR12136,microRNA 12136,1614.5,0.03200732325783909
81399,OR4F16,olfactory receptor family 4 subfamily F member 16,0.004063500000000001,0.6056231397509592
100133331,NA,NA,1.2395000000000005,0.21588184193594254
107984841,NA,NA,0.7025000000000001,0.24431964289279032
107984847,NA,NA,2.096,0.027925276054155134
107984849,NA,NA,0.29955,0.4136631717347472
100288069,LOC100288069,uncharacterized LOC100288069,0.9794999999999998,0.18341536802915784
105378580,LINC01409,long intergenic non-protein coding RNA 1409,0.015800000000000036,0.7133974536198342
400728,FAM87B,family with sequence similarity 87 member B,0.022199999999999998,0.8905231482257827
79854,LINC00115,long intergenic non-protein coding RNA 115,-0.008900000000000019,0.9546528673114628
643837,LINC01128,long intergenic non-protein coding RNA 1128,0.36549999999999994,0.05200715991595922
107984850,LOC107984850,uncharacterized LOC107984850,0.01176,0.06858775373244969
284593,FAM41C,family with sequence similarity 41 member C,0.08357500000000001,0.2994969239074477
284600,LOC284600,uncharacterized LOC284600,0.16295000000000004,0.30362788472102825
100130417,LINC02593,long intergenic non-protein coding RNA 2593,3.288000000000001,0.12710346664056918
107985728,LOC107985728,collagen alpha-1(III) chain-like,1.6885000000000003,0.33950750113660527
148398,SAMD11,sterile alpha motif domain containing 11,1.1610000000000014,0.0733230563730031
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor,6.530000000000001,0.2566297390073411
339451,KLHL17,kelch like family member 17,-0.1374999999999993,0.8699443876051667
84069,PLEKHN1,pleckstrin homology domain containing N1,1.5465000000000009,0.21448795076712351
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1",0.44184999999999985,0.3941170816799766
57801,HES4,hes family bHLH transcription factor 4,-0.41000000000000014,0.7595545989056766
9636,ISG15,ISG15 ubiquitin like modifier,286.65000000000003,0.059381856595056015
375790,AGRN,agrin,14.170000000000002,0.1973867976808465
100288175,LOC100288175,uncharacterized LOC100288175,-0.14300000000000024,0.7687339927712717
112267874,NA,NA,0.21189999999999998,0.09943023580874118
105378948,LOC105378948,uncharacterized LOC105378948,0.47150000000000025,0.1610587163652855
401934,RNF223,ring finger protein 223,1.179499999999999,0.3632117621130876
54991,C1orf159,chromosome 1 open reading frame 159,0.21450000000000014,0.7834996123433449
254099,LINC01342,long intergenic non-protein coding RNA 1342,0,NA
406984,MIR200B,microRNA 200b,0,NA
406983,MIR200A,microRNA 200a,-0.1269,0.8712165741938745
554210,MIR429,microRNA 429,0.4523,0.49999999999999956
100506376,TTLL10-AS1,TTLL10 antisense RNA 1,0.007699999999999999,0.42911554349732917
254173,TTLL10,tubulin tyrosine ligase like 10,0.012899999999999998,0.2549257695016676
8784,TNFRSF18,TNF receptor superfamily member 18,-0.16779999999999995,0.4456618109179489
7293,TNFRSF4,TNF receptor superfamily member 4,0.017305,0.49999999999999956
51150,SDF4,stromal cell derived factor 4,-1.375,0.7883044525113102
126792,B3GALT6,"beta-1,3-galactosyltransferase 6",-3.389999999999999,0.16608894983215355
388581,C1QTNF12,C1q and TNF related 12,-0.1775,0.2634089583947553
118424,UBE2J2,ubiquitin conjugating enzyme E2 J2,-0.39500000000000135,0.7126739474624009
101928895,LINC01786,long intergenic non-protein coding RNA 1786,0.5225500000000001,0.2620842289031824
6339,SCNN1D,sodium channel epithelial 1 subunit delta,-0.006099999999999994,0.9739962104892987
116983,ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1.2030000000000003,0.3066290672623074
102465434,MIR6726,microRNA 6726,0,NA
109623456,SNORD167,"small nucleolar RNA, C/D box 167",1.5479500000000002,0.5304157602461188
126789,PUSL1,pseudouridine synthase like 1,-2.799999999999999,0.18417745918585215
54973,INTS11,integrator complex subunit 11,-2.9299999999999926,0.5295345553990931
102465435,MIR6727,microRNA 6727,-0.8240000000000001,0.6049719102255566
80772,CPTP,ceramide-1-phosphate transfer protein,0.49600000000000044,0.3173172626719219
83756,TAS1R3,taste 1 receptor member 3,-0.05020000000000002,0.189279020144979
1855,DVL1,dishevelled segment polarity protein 1,-4.765000000000001,0.11405076485227858
102466740,MIR6808,microRNA 6808,0,NA
54587,MXRA8,matrix remodeling associated 8,0.7824999999999998,0.2525754366566623
54998,AURKAIP1,aurora kinase A interacting protein 1,0.5,0.8940098502614096
81669,CCNL2,cyclin L2,6.3699999999999974,0.3346126807019997
148413,MRPL20-AS1,MRPL20 antisense RNA 1,-1.1500000000000021,0.45801294023039363
55052,MRPL20,mitochondrial ribosomal protein L20,2.155000000000001,0.7875861528819266
107984868,NA,NA,-0.026959999999999998,0.5819039843780605
441869,ANKRD65,ankyrin repeat domain 65,0.005350000000000001,0.7573681520188119
