GeneID,GSM2794663,GSM2794664,GSM2794665,GSM2794666,GSM2794667,GSM2794668,GSM2794669,GSM2794670
100287102,0.08894,0.1286,0.1588,0.127,0.1818,0.1538,0.1106,0.1744
653635,13.51,13.66,11.45,13,13.88,11.71,12.22,14.49
102466751,3.601,3.124,1.543,2.056,2.208,1.868,1.791,2.118
107985730,0,0,0,0,0,0.07872,0,0
100302278,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0
100996442,1.641,1.79,2.133,1.929,2.194,2.008,2.078,1.81
729737,8.804,9.254,10.03,9.221,12.13,11.02,13.55,16.89
102725121,0.03048,0.06609,0.03265,0.04351,0.1402,0.1581,0.07579,0.08963
102723897,15.6,15.59,13.05,15.4,15.56,14.17,14.07,16.81
102465909,2.881,2.343,1.543,2.056,2.208,1.868,1.791,2.118
107985721,0,0.01962,0,0,0,0,0,0
112268260,0.3937,0.5799,0.6207,0.4878,0.9224,0.9443,0.822,0.994
729759,0,0,0,0,0,0,0,0
100132287,5.189,5.699,5.871,5.536,7.113,6.077,8.054,8.932
105378947,0.1463,0.204,0.1791,0.1492,0.2564,0.2169,0.3639,0.2766
101928626,0,0,0,0,0,0,0,0
113219467,1515,1942,1175,1283,3139,3547,3342,2957
81399,0.008473,0.01837,0.01815,0.0121,0.01299,0.02198,0.02107,0.02492
100133331,5.41,6.139,6.532,6.168,7.556,6.472,8.351,9.523
107984841,2.221,2.523,3.626,2.718,3.405,2.744,4.406,3.5
107984847,5.756,5.255,10.06,6.775,7.431,7.772,11.3,11.58
107984849,0.6996,0.3793,0.7495,0.7491,1.073,0.605,1.087,1.029
100288069,3.215,3.796,5.051,4.029,4.491,4.479,5.419,4.675
105378580,0.5243,0.5891,0.7352,0.6531,0.5845,0.5605,0.6163,0.4625
400728,0.2267,0.2458,0.3778,0.3596,0.3862,0.1307,0.4699,0.2223
79854,0.6694,0.8467,0.7171,0.8494,0.8551,0.6432,0.7398,1.094
643837,1.22,1.34,1.625,1.711,1.708,1.583,1.715,1.459
107984850,0.01996,0.02164,0,0,0.0306,0.03452,0,0.08804
284593,0.1148,0.06225,0.123,0.1229,0.2201,0.1241,0.1785,0.08443
284600,0.292,0.2065,0.2584,0.2356,0.506,0.3184,0.363,0.2613
100130417,5.561,5.853,4.564,4.828,9.722,8.268,7.319,5.738
107985728,4.567,5.258,3.957,3.317,7.661,5.541,6.647,4.464
148398,9.347,8.971,7.12,6.945,10.07,10.57,10.62,12.59
26155,68.89,70.43,75.03,68.19,79.17,73.21,80.8,83.56
339451,6.172,5.072,4.499,3.84,5.98,4.989,5.519,6.571
84069,3.131,3.434,3.249,2.968,5.418,4.24,5.717,7.283
84808,0.9483,1.058,0.6966,0.5609,1.765,1.125,1.314,1.793
57801,13.09,11.15,13.09,18.43,11.11,12.31,22.2,42.99
9636,216.7,201.6,1839,2182,463.5,528.1,3517,8139
375790,44.63,42.33,51.18,42.85,62.56,52.74,87.06,105.7
100288175,3.168,2.998,2.262,2.728,3.315,2.565,3.501,3.105
112267874,0.9241,0.8251,1.009,0.8018,1.139,1.034,1.667,2.345
105378948,1.795,1.8,1.527,1.437,2.391,2.147,2.377,2.244
401934,5.207,5.058,4.805,5.961,7.074,5.55,9.615,13.04
