GeneID,Symbol,Gene Name / Type
100287102,DDX11L1,DEAD/H-box helicase 11 like 1 (pseudogene)
653635,WASH7P,"WASP family homolog 7, pseudogene"
102466751,MIR6859-1,microRNA 6859-1
107985730,MIR1302-2HG,MIR1302-2 host gene
100302278,MIR1302-2,microRNA 1302-2
645520,FAM138A,family with sequence similarity 138 member A
79501,OR4F5,olfactory receptor family 4 subfamily F member 5
100996442,WASH9P,"WAS protein family homolog 9, pseudogene"
729737,LOC729737,uncharacterized LOC729737
102725121,DDX11L17,DEAD/H-box helicase 11 like 17 (pseudogene)
102723897,LOC102723897,WASH complex subunit 1 pseudogene
102465909,MIR6859-2,microRNA 6859-2
107985721,NA,NA
112268260,LOC112268260,uncharacterized LOC112268260
729759,OR4F29,olfactory receptor family 4 subfamily F member 29
100132287,LOC100132287,uncharacterized LOC100132287
105378947,LOC105378947,proline-rich extensin-like protein EPR1
101928626,LOC101928626,uncharacterized LOC101928626
113219467,MIR12136,microRNA 12136
81399,OR4F16,olfactory receptor family 4 subfamily F member 16
100133331,NA,NA
107984841,NA,NA
107984847,NA,NA
107984849,NA,NA
100288069,LOC100288069,uncharacterized LOC100288069
105378580,LINC01409,long intergenic non-protein coding RNA 1409
400728,FAM87B,family with sequence similarity 87 member B
79854,LINC00115,long intergenic non-protein coding RNA 115
643837,LINC01128,long intergenic non-protein coding RNA 1128
107984850,LOC107984850,uncharacterized LOC107984850
284593,FAM41C,family with sequence similarity 41 member C
284600,LOC284600,uncharacterized LOC284600
100130417,LINC02593,long intergenic non-protein coding RNA 2593
107985728,LOC107985728,collagen alpha-1(III) chain-like
148398,SAMD11,sterile alpha motif domain containing 11
26155,NOC2L,NOC2 like nucleolar associated transcriptional repressor
339451,KLHL17,kelch like family member 17
84069,PLEKHN1,pleckstrin homology domain containing N1
84808,PERM1,"PPARGC1 and ESRR induced regulator, muscle 1"
57801,HES4,hes family bHLH transcription factor 4
9636,ISG15,ISG15 ubiquitin like modifier
